Date,Attendence,Fed Holiday,Weekend,Closed
3/25/2011,785,0,0,0
3/26/2011,687,0,1,0
3/27/2011,1014,0,1,0
3/28/2011,279,0,0,0
3/29/2011,369,0,0,0
3/30/2011,340,0,0,0
3/31/2011,316,0,0,0
4/1/2011,325,0,0,0
4/2/2011,549,0,1,0
4/3/2011,511,0,1,0
4/4/2011,294,0,0,0
4/5/2011,643,0,0,0
4/6/2011,712,0,0,0
4/7/2011,840,0,0,0
4/8/2011,1009,0,0,0
4/9/2011,689,0,1,0
4/10/2011,574,0,1,0
4/11/2011,155,0,0,0
4/12/2011,365,0,0,0
4/13/2011,331,0,0,0
4/14/2011,331,0,0,0
4/15/2011,343,0,0,0
4/16/2011,580,0,1,0
4/17/2011,334,0,1,0
4/18/2011,488,0,0,0
4/19/2011,621,0,0,0
4/20/2011,568,0,0,0
4/21/2011,819,0,0,0
4/22/2011,873,0,0,0
4/23/2011,353,0,1,0
4/24/2011,3,0,1,1
4/25/2011,248,0,0,0
4/26/2011,498,0,0,0
4/27/2011,308,0,0,0
4/28/2011,469,0,0,0
4/29/2011,443,0,0,0
4/30/2011,339,0,1,0
5/1/2011,363,0,1,0
5/2/2011,106,0,0,0
5/3/2011,281,0,0,0
5/4/2011,283,0,0,0
5/5/2011,240,0,0,0
5/6/2011,305,0,0,0
5/7/2011,426,0,1,0
5/8/2011,4,0,1,1
5/9/2011,206,0,0,0
5/10/2011,290,0,0,0
5/11/2011,261,0,0,0
5/12/2011,264,0,0,0
5/13/2011,376,0,0,0
5/14/2011,611,0,1,0
5/15/2011,805,0,1,0
5/16/2011,148,0,0,0
5/17/2011,594,0,0,0
5/18/2011,440,0,0,0
5/19/2011,289,0,0,0
5/20/2011,409,0,0,0
5/21/2011,568,0,1,0
5/22/2011,551,0,1,0
5/23/2011,182,0,0,0
5/24/2011,302,0,0,0
5/25/2011,243,0,0,0
5/26/2011,305,0,0,0
5/27/2011,411,0,0,0
5/28/2011,636,0,1,0
5/29/2011,682,0,1,0
5/30/2011,522,1,0,0
5/31/2011,244,0,0,0
6/1/2011,279,0,0,0
6/2/2011,266,0,0,0
6/3/2011,339,0,0,0
6/4/2011,372,0,1,0
6/5/2011,391,0,1,0
6/6/2011,149,0,0,0
6/7/2011,291,0,0,0
6/8/2011,340,0,0,0
6/9/2011,284,0,0,0
6/10/2011,702,0,0,0
6/11/2011,530,0,1,0
6/12/2011,395,0,1,0
6/13/2011,204,0,0,0
6/14/2011,319,0,0,0
6/15/2011,352,0,0,0
6/16/2011,477,0,0,0
6/17/2011,493,0,0,0
6/18/2011,391,0,1,0
6/19/2011,0,0,1,1
6/20/2011,204,0,0,0
6/21/2011,442,0,0,0
6/22/2011,435,0,0,0
6/23/2011,421,0,0,0
6/24/2011,597,0,0,0
6/25/2011,556,0,1,0
6/26/2011,363,0,1,0
6/27/2011,187,0,0,0
6/28/2011,565,0,0,0
6/29/2011,486,0,0,0
6/30/2011,425,0,0,0
7/1/2011,482,0,0,0
7/2/2011,491,0,1,0
7/3/2011,423,0,1,0
7/4/2011,0,1,0,1
7/5/2011,327,0,0,0
7/6/2011,503,0,0,0
7/7/2011,484,0,0,0
7/8/2011,789,0,0,0
7/9/2011,536,0,1,0
7/10/2011,351,0,1,0
7/11/2011,185,0,0,0
7/12/2011,540,0,0,0
7/13/2011,515,0,0,0
7/14/2011,604,0,0,0
7/15/2011,471,0,0,0
7/16/2011,433,0,1,0
7/17/2011,318,0,1,0
7/18/2011,246,0,0,0
7/19/2011,533,0,0,0
7/20/2011,426,0,0,0
7/21/2011,435,0,0,0
7/22/2011,540,0,0,0
7/23/2011,475,0,1,0
7/24/2011,447,0,1,0
7/25/2011,228,0,0,0
7/26/2011,567,0,0,0
7/27/2011,526,0,0,0
7/28/2011,551,0,0,0
7/29/2011,531,0,0,0
7/30/2011,486,0,1,0
7/31/2011,988,0,1,0
8/1/2011,265,0,0,0
8/2/2011,603,0,0,0
8/3/2011,483,0,0,0
8/4/2011,543,0,0,0
8/5/2011,567,0,0,0
8/6/2011,470,0,1,0
8/7/2011,447,0,1,0
8/8/2011,240,0,0,0
8/9/2011,635,0,0,0
8/10/2011,358,0,0,0
8/11/2011,622,0,0,0
8/12/2011,657,0,0,0
8/13/2011,481,0,1,0
8/14/2011,391,0,1,0
8/15/2011,319,0,0,0
8/16/2011,504,0,0,0
8/17/2011,516,0,0,0
8/18/2011,638,0,0,0
8/19/2011,636,0,0,0
8/20/2011,467,0,1,0
8/21/2011,443,0,1,0
8/22/2011,300,0,0,0
8/23/2011,642,0,0,0
8/24/2011,538,0,0,0
8/25/2011,498,0,0,0
8/26/2011,613,0,0,0
8/27/2011,618,0,1,0
8/28/2011,693,0,1,0
8/29/2011,299,0,0,0
8/30/2011,2119,0,0,0
8/31/2011,590,0,0,0
9/1/2011,514,0,0,0
9/2/2011,598,0,0,0
9/3/2011,582,0,1,0
9/4/2011,465,0,1,0
9/5/2011,642,1,0,0
9/6/2011,362,0,0,0
9/7/2011,355,0,0,0
9/8/2011,353,0,0,0
9/9/2011,387,0,0,0
9/10/2011,648,0,1,0
9/11/2011,445,0,1,0
9/12/2011,124,0,0,0
9/13/2011,301,0,0,0
9/14/2011,294,0,0,0
9/15/2011,303,0,0,0
9/16/2011,372,0,0,0
9/17/2011,587,0,1,0
9/18/2011,433,0,1,0
9/19/2011,165,0,0,0
9/20/2011,250,0,0,0
9/21/2011,205,0,0,0
9/22/2011,348,0,0,0
9/23/2011,369,0,0,0
9/24/2011,491,0,1,0
9/25/2011,570,0,1,0
9/26/2011,128,0,0,0
9/27/2011,364,0,0,0
9/28/2011,226,0,0,0
9/29/2011,361,0,0,0
9/30/2011,532,0,0,0
10/1/2011,440,0,1,0
10/2/2011,335,0,1,0
10/3/2011,99,0,0,0
10/4/2011,384,0,0,0
10/5/2011,421,0,0,0
10/6/2011,342,0,0,0
10/7/2011,296,0,0,0
10/8/2011,453,0,1,0
10/9/2011,350,0,1,0
10/10/2011,191,1,0,0
10/11/2011,262,0,0,0
10/12/2011,305,0,0,0
10/13/2011,369,0,0,0
10/14/2011,489,0,0,0
10/15/2011,371,0,1,0
10/16/2011,285,0,1,0
10/17/2011,212,0,0,0
10/18/2011,326,0,0,0
10/19/2011,288,0,0,0
10/20/2011,329,0,0,0
10/21/2011,401,0,0,0
10/22/2011,354,0,1,0
10/23/2011,490,0,1,0
10/24/2011,125,0,0,0
10/25/2011,271,0,0,0
10/26/2011,193,0,0,0
10/27/2011,205,0,0,0
10/28/2011,252,0,0,0
10/29/2011,338,0,1,0
10/30/2011,624,0,1,0
10/31/2011,138,0,0,0
11/1/2011,210,0,0,0
11/2/2011,227,0,0,0
11/3/2011,329,0,0,0
11/4/2011,540,0,0,0
11/5/2011,584,0,1,0
11/6/2011,824,0,1,0
11/7/2011,179,0,0,0
11/8/2011,309,0,0,0
11/9/2011,289,0,0,0
11/10/2011,386,0,0,0
11/11/2011,1256,1,0,0
11/12/2011,993,0,1,0
11/13/2011,501,0,1,0
11/14/2011,163,0,0,0
11/15/2011,231,0,0,0
11/16/2011,211,0,0,0
11/17/2011,310,0,0,0
11/18/2011,368,0,0,0
11/19/2011,633,0,1,0
11/20/2011,738,0,1,0
11/21/2011,586,0,0,0
11/22/2011,564,0,0,0
11/23/2011,536,0,0,0
11/24/2011,0,1,0,1
11/25/2011,523,1,0,0
11/26/2011,468,0,1,0
11/27/2011,321,0,1,0
11/28/2011,132,0,0,0
11/29/2011,282,0,0,0
11/30/2011,220,0,0,0
12/1/2011,246,0,0,0
12/2/2011,280,0,0,0
12/3/2011,423,0,1,0
12/4/2011,420,0,1,0
12/5/2011,146,0,0,0
12/6/2011,275,0,0,0
12/7/2011,223,0,0,0
12/8/2011,245,0,0,0
12/9/2011,305,0,0,0
12/10/2011,345,0,1,0
12/11/2011,314,0,1,0
12/12/2011,180,0,0,0
12/13/2011,353,0,0,0
12/14/2011,312,0,0,0
12/15/2011,273,0,0,0
12/16/2011,280,0,0,0
12/17/2011,422,0,1,0
12/18/2011,388,0,1,0
12/19/2011,503,0,0,0
12/20/2011,652,0,0,0
12/21/2011,680,0,0,0
12/22/2011,645,0,0,0
12/23/2011,723,0,0,0
12/24/2011,117,0,1,0
12/25/2011,0,0,1,1
12/26/2011,663,1,0,0
12/27/2011,1024,0,0,0
12/28/2011,1303,0,0,0
12/29/2011,1337,0,0,0
12/30/2011,1240,0,0,0
12/31/2011,601,0,1,0
1/1/2012,0,0,1,1
1/2/2012,540,1,0,0
1/3/2012,382,0,0,0
1/4/2012,346,0,0,0
1/5/2012,410,0,0,0
1/6/2012,461,0,0,0
1/7/2012,576,0,1,0
1/8/2012,396,0,1,0
1/9/2012,130,0,0,0
1/10/2012,231,0,0,0
1/11/2012,259,0,0,0
1/12/2012,285,0,0,0
1/13/2012,336,0,0,0
1/14/2012,504,0,1,0
1/15/2012,787,0,1,0
1/16/2012,1085,1,0,0
1/17/2012,290,0,0,0
1/18/2012,290,0,0,0
1/19/2012,285,0,0,0
1/20/2012,330,0,0,0
